Frequency(Hz),Amp(dB),原始数据
10000000,-0.1317487,-0.1317487
20000000,-0.140550492,-0.149609353
30000000,-0.151018032,-0.140293424
40000000,-0.166007842,-0.161588503
50000000,-0.178396697,-0.171850181
60000000,-0.189160301,-0.192604047
70000000,-0.199694805,-0.214360691
80000000,-0.209946843,-0.223166703
90000000,-0.21993501,-0.220348673
100000000,-0.229721238,-0.22534819
110000000,-0.239443301,-0.249844845
120000000,-0.248525924,-0.251481228
130000000,-0.257401218,-0.263787928
140000000,-0.265598432,-0.270766536
150000000,-0.273744924,-0.282403641
160000000,-0.281568135,-0.290280833
170000000,-0.288614649,-0.299411702
180000000,-0.296144978,-0.304231974
190000000,-0.302913436,-0.321576369
200000000,-0.30980513,-0.333855462
210000000,-0.316249874,-0.329750344
220000000,-0.32241528,-0.338172104
230000000,-0.328841325,-0.349614833
240000000,-0.335097081,-0.354674621
250000000,-0.341364736,-0.364259559
260000000,-0.347661751,-0.370945735
270000000,-0.353904834,-0.365181489
280000000,-0.360340604,-0.385230272
290000000,-0.36664702,-0.38221485
300000000,-0.37279946,-0.393524982
310000000,-0.378911767,-0.396484427
320000000,-0.38498454,-0.397997942
330000000,-0.390792982,-0.397673286
340000000,-0.396335012,-0.417543217
350000000,-0.401841402,-0.423247595
360000000,-0.407185164,-0.419832531
370000000,-0.412377738,-0.422890361
380000000,-0.417467722,-0.434294515
390000000,-0.422502059,-0.440308425
400000000,-0.427579732,-0.438342519
410000000,-0.432730133,-0.44550223
420000000,-0.437976668,-0.446626986
430000000,-0.443247968,-0.450985223
440000000,-0.448528279,-0.466984141
450000000,-0.453738791,-0.467018447
460000000,-0.458999259,-0.469225108
470000000,-0.464166394,-0.482478092
480000000,-0.469269668,-0.488719364
490000000,-0.474237786,-0.488589894
500000000,-0.479071395,-0.497990647
510000000,-0.483798166,-0.505886592
520000000,-0.488297511,-0.511800604
530000000,-0.492690596,-0.514406294
540000000,-0.497106421,-0.5260466
550000000,-0.501329271,-0.535730426
560000000,-0.505674693,-0.537304672
570000000,-0.510121482,-0.542842241
580000000,-0.514546267,-0.547338036
590000000,-0.519068291,-0.548949959
600000000,-0.523539064,-0.556613993
610000000,-0.527994154,-0.561835635
620000000,-0.532448575,-0.566590137
630000000,-0.536809089,-0.573818093
640000000,-0.54105493,-0.574783098
650000000,-0.545139793,-0.572734745
660000000,-0.549145989,-0.578012628
670000000,-0.553064303,-0.574889339
680000000,-0.556864782,-0.583071474
690000000,-0.560623126,-0.589539483
700000000,-0.564310416,-0.585885269
710000000,-0.56798998,-0.597204599
720000000,-0.571747953,-0.596999243
730000000,-0.575496642,-0.596428968
740000000,-0.579270966,-0.601902542
750000000,-0.583055913,-0.604601735
760000000,-0.586824434,-0.606463313
770000000,-0.59054793,-0.616116087
780000000,-0.594253267,-0.620223391
790000000,-0.597870845,-0.625916928
800000000,-0.601466081,-0.633648409
810000000,-0.605004383,-0.638693545
820000000,-0.608491443,-0.648488046
830000000,-0.611968852,-0.652434624
840000000,-6.15E-01,-0.659526988
850000000,-0.618881456,-0.664486833
860000000,-0.622348123,-0.669446021
870000000,-0.625808025,-0.676436974
880000000,-0.62921044,-0.679175738
890000000,-0.63261902,-0.681616358
900000000,-0.635989179,-0.690478877
910000000,-0.639327479,-0.695701342
920000000,-0.642654499,-0.699830797
930000000,-0.645966353,-0.698711286
940000000,-0.649248088,-0.705920454
950000000,-0.652570453,-0.707223309
960000000,-0.655905975,-0.710297023
970000000,-0.659198338,-0.710149775
980000000,-0.662496092,-0.716061739
990000000,-0.66577014,-0.710941091
1000000000,-0.669024845,-0.714355008
1010000000,-0.673348314,-0.721191665
1020000000,-0.677582,-0.713336265
1030000000,-0.681872865,-0.717692603
1040000000,-0.686069965,-0.714409037
1050000000,-0.690201969,-0.72345995
1060000000,-0.694235901,-0.727086726
1070000000,-0.698168671,-0.730787747
1080000000,-0.702052876,-0.723956396
1090000000,-0.705964333,-0.730547056
1100000000,-0.709880352,-0.739695107
1110000000,-0.713679037,-0.745305343
1120000000,-0.717469775,-0.752177379
1130000000,-0.721213864,-0.761659148
1140000000,-0.724933003,-0.764531582
1150000000,-0.728596051,-0.764561613
1160000000,-0.732272724,-0.777121174
1170000000,-0.735933883,-0.781048199
1180000000,-0.739597453,-0.782712619
1190000000,-0.74319215,-0.787445876
1200000000,-0.746737046,-0.796987609
1210000000,-0.750334529,-0.789156515
1220000000,-0.753915424,-0.802580305
1230000000,-0.757425808,-0.801301692
1240000000,-0.760956653,-0.805020387
1250000000,-0.764447128,-0.804941104
1260000000,-0.767905115,-0.804021554
1270000000,-0.771407498,-0.808818413
1280000000,-0.774815914,-0.806951897
1290000000,-0.778246658,-0.802105296
1300000000,-0.781617472,-0.807393768
1310000000,-0.784996518,-0.80769747
1320000000,-0.788368552,-0.810555561
1330000000,-0.791702902,-0.808872199
1340000000,-0.794974596,-0.804687542
1350000000,-0.798209704,-0.814505748
1360000000,-0.801451789,-0.814214239
1370000000,-0.804703436,-0.814408436
1380000000,-0.807880028,-0.816792997
1390000000,-0.811046294,-0.816986576
1400000000,-0.814232304,-0.82193283
1410000000,-0.817385706,-0.825506415
1420000000,-0.820543113,-0.834478988
1430000000,-0.823713425,-0.838891203
1440000000,-0.826813761,-0.8412256
1450000000,-0.829928321,-0.845830253
1460000000,-0.833062435,-0.851645233
1470000000,-0.836177037,-0.854173594
1480000000,-0.839259522,-0.859366389
1490000000,-0.842360138,-0.863132673
1500000000,-0.845444844,-0.865487499
1510000000,-0.848472987,-0.86967092
1520000000,-0.85150821,-0.87171601
1530000000,-0.854552872,-0.871627759
1540000000,-0.857546196,-0.876791656
1550000000,-0.860504498,-0.878631559
1560000000,-0.86346472,-0.874011329
1570000000,-0.866387016,-0.882454825
1580000000,-0.869292124,-0.881085907
1590000000,-0.872184773,-0.886298435
1600000000,-0.875039316,-0.884226268
1610000000,-0.877865466,-0.888372474
1620000000,-0.880695027,-0.889125832
1630000000,-0.883482717,-0.889273671
1640000000,-0.886271581,-0.893723318
1650000000,-0.889080341,-0.897032102
1660000000,-0.891875358,-0.89824735
1670000000,-0.894671523,-0.901456391
1680000000,-0.897438417,-0.906916553
1690000000,-0.900186671,-0.909485209
1700000000,-0.902985702,-0.914360684
1710000000,-0.905745194,-0.91620219
1720000000,-0.908539276,-0.920518973
1730000000,-0.911343918,-0.922740281
1740000000,-0.914143318,-0.92171536
1750000000,-0.916952497,-0.925323456
1760000000,-0.91975371,-0.928843817
1770000000,-0.92253995,-0.932895691
1780000000,-0.925321057,-0.936159276
1790000000,-0.928097399,-0.932337201
1800000000,-0.930821101,-0.934372479
1810000000,-0.933557404,-0.941838123
1820000000,-0.936236169,-0.944907147
1830000000,-0.93890928,-0.942592563
1840000000,-0.941539686,-0.947377385
1850000000,-0.944160052,-0.950624625
1860000000,-0.946768287,-0.949666636
1870000000,-0.949328597,-0.955950514
1880000000,-0.951887577,-0.961260852
1890000000,-0.954433446,-0.96516223
1900000000,-0.956964951,-0.967199224
1910000000,-0.959468717,-0.975026413
1920000000,-0.961960008,-0.969858376
1930000000,-0.964484498,-0.977379689
1940000000,-0.966967247,-0.975805049
1950000000,-0.969488195,-0.985653569
1960000000,-0.971988084,-0.983750048
1970000000,-0.974498835,-0.986229657
1980000000,-0.97700631,-0.988917568
1990000000,-0.979556502,-0.990308953
2000000000,-0.982094839,-0.992118983
2010000000,-0.984626981,-0.99211283
2020000000,-0.987204968,-0.994175665
2030000000,-0.989767424,-0.996811353
2040000000,-0.992390442,-0.994118978
2050000000,-0.994979236,-0.995356534
2060000000,-0.997543867,-0.996982014
2070000000,-1.000094887,-0.996123409
2080000000,-1.00268773,-0.998728714
2090000000,-1.005285629,-1.004635921
2100000000,-1.007850712,-1.005783024
2110000000,-1.010380036,-1.005838187
2120000000,-1.012899634,-1.008861677
2130000000,-1.015376338,-1.010875148
2140000000,-1.017835377,-1.011350283
2150000000,-1.020279286,-1.021938762
2160000000,-1.02268603,-1.027982268
2170000000,-1.025065904,-1.03328248
2180000000,-1.027509312,-1.036921082
2190000000,-1.029930629,-1.039289746
2200000000,-1.032277108,-1.045649476
2210000000,-1.034690484,-1.050770088
2220000000,-1.037093658,-1.048181275
2230000000,-1.039520209,-1.057312728
