Frequency(Hz),Amp(dB),原始数据
10000000,-0.1286317,-0.1286317
20000000,-0.132979159,-0.144205353
30000000,-0.145628432,-0.126100424
40000000,-0.161492128,-0.165402503
50000000,-0.172105697,-0.163802181
60000000,-0.180348483,-0.194470047
70000000,-0.190934728,-0.207832691
80000000,-0.200797243,-0.211522703
90000000,-0.210728069,-0.206983673
100000000,-0.220423501,-0.21030919
110000000,-0.229368158,-0.224572845
120000000,-0.237948229,-0.245498228
130000000,-0.246193898,-0.252819928
140000000,-0.25368421,-0.261815536
150000000,-0.261603338,-0.267991641
160000000,-0.269178877,-0.288359833
170000000,-0.276369922,-0.282058702
180000000,-0.283304692,-0.300120974
190000000,-0.290111247,-0.305548369
200000000,-0.297030822,-0.316914462
210000000,-0.30369741,-0.311770344
220000000,-0.309940024,-0.328278104
230000000,-0.316158258,-0.327799833
240000000,-0.322224337,-0.339676621
250000000,-0.328358022,-0.342361559
260000000,-0.334562222,-0.345617735
270000000,-0.340683287,-0.349008489
280000000,-0.34678755,-0.363105272
290000000,-0.352861862,-0.37391785
300000000,-0.358859918,-0.375277982
310000000,-0.364743078,-0.382770427
320000000,-0.370559381,-0.389484942
330000000,-0.376156582,-0.386177286
340000000,-0.38170437,-0.395340217
350000000,-0.387023837,-0.400116595
360000000,-0.39218377,-0.408962531
370000000,-0.397345614,-0.409489361
380000000,-0.402313188,-0.424463515
390000000,-0.407323734,-0.425622425
400000000,-0.412266745,-0.426530519
410000000,-0.417348788,-0.44086123
420000000,-0.422448427,-0.436298986
430000000,-0.427574886,-0.439528223
440000000,-0.432689762,-0.449768141
450000000,-0.437709319,-0.449932447
460000000,-0.442743798,-0.456064108
470000000,-0.447726265,-0.461358092
480000000,-0.452593657,-0.472125364
490000000,-0.457399044,-0.472873894
500000000,-0.462019071,-0.486251647
510000000,-0.466578859,-0.486878592
520000000,-0.470973977,-0.497905604
530000000,-0.475343282,-0.495635294
540000000,-0.479631047,-0.5072556
550000000,-0.483870142,-0.509845426
560000000,-0.488218324,-0.518772672
570000000,-0.492634235,-0.521038241
580000000,-0.497081789,-0.527826036
590000000,-0.501610325,-0.531782959
600000000,-0.506094912,-0.534742993
610000000,-0.510568659,-0.541849635
620000000,-0.514988315,-0.544660137
630000000,-0.519363057,-0.551253093
640000000,-0.523561757,-0.553572098
650000000,-0.52763208,-0.551364745
660000000,-0.531593371,-0.561510628
670000000,-0.535441762,-0.562504339
680000000,-0.539257538,-0.561014474
690000000,-0.542992192,-0.569437483
700000000,-0.546714215,-0.567735269
710000000,-0.55042398,-0.572667599
720000000,-0.554220317,-0.582639243
730000000,-0.557992442,-0.578542968
740000000,-0.561830653,-0.581138542
750000000,-0.565637678,-0.586120735
760000000,-0.569398341,-0.591746313
770000000,-0.573140243,-0.598692087
780000000,-0.576810506,-0.601442391
790000000,-0.580409392,-0.603702928
800000000,-0.583979949,-0.616542409
810000000,-0.587467656,-0.619636545
820000000,-0.590944921,-0.624919046
830000000,-0.594366895,-0.633048624
840000000,-5.98E-01,-0.639520988
850000000,-0.601239427,-0.641124833
860000000,-0.604692082,-0.648478021
870000000,-0.608112921,-0.651665974
880000000,-0.611523109,-0.654581738
890000000,-0.614926913,-0.657538358
900000000,-0.618293241,-0.665261877
910000000,-0.621630943,-0.668294342
920000000,-0.62494033,-0.672034797
930000000,-0.628229851,-0.676822286
940000000,-0.63144203,-0.680249454
950000000,-0.634705516,-0.677605309
960000000,-0.637918891,-0.685169023
970000000,-0.641156095,-0.686140775
980000000,-0.644352743,-0.685922739
990000000,-0.647540683,-0.686258091
1000000000,-0.650695935,-0.690047008
1010000000,-0.654892103,-0.694529665
1020000000,-0.659024452,-0.689891265
1030000000,-0.663245081,-0.695963603
1040000000,-0.66728407,-0.694730037
1050000000,-0.671297471,-0.70599495
1060000000,-0.675203735,-0.701726726
1070000000,-0.679038606,-0.707750747
1080000000,-0.682840067,-0.708526396
1090000000,-0.686693258,-0.712797056
1100000000,-0.690562337,-0.722415107
1110000000,-0.694345102,-0.727973343
1120000000,-0.698031685,-0.729865379
1130000000,-0.701733201,-0.745569148
1140000000,-0.705377269,-0.747158582
1150000000,-0.70900686,-0.749578613
1160000000,-0.712572182,-0.761500174
1170000000,-0.716225767,-0.762502199
1180000000,-0.719770649,-0.766442619
1190000000,-0.723320814,-0.770443876
1200000000,-0.726821343,-0.777873609
1210000000,-0.7303936,-0.775639515
1220000000,-0.733898585,-0.782982305
1230000000,-0.737410903,-0.781772692
1240000000,-0.740889376,-0.790106387
1250000000,-0.744380294,-0.786713104
1260000000,-0.747826663,-0.782807554
1270000000,-0.751288508,-0.789153413
1280000000,-0.754675291,-0.789372897
1290000000,-0.758006723,-0.782822296
1300000000,-0.761353,-0.785571768
