Fre_ch,pwr
1,15.058
2,14.954
3,14.901
4,14.953
5,14.979
6,14.999
7,14.87
8,14.878
9,14.996
10,15.025
11,14.949
12,14.846
13,14.907
14,14.966
15,15.016
16,14.93
17,14.865
18,15.005
19,15.04
20,14.952
21,14.84
22,14.82
23,14.95
24,15.04
25,14.965
26,14.865
27,14.918
28,15.007
29,14.987
30,14.868
31,14.804
32,14.863
33,15.064
34,14.986
35,14.865
36,14.837
37,14.868
38,14.988
39,14.907
40,14.8
41,14.852
42,14.953
43,14.949
44,14.805
45,14.783
46,14.815
47,14.951
48,14.967
49,14.813
50,14.852
51,14.906
52,14.939
53,14.836
54,14.78
55,14.852
56,14.967
57,14.989
58,14.879
59,14.896
60,14.905
61,14.915
62,14.878
63,14.792
64,14.89
65,15.002
66,14.946
67,14.839
68,14.788
69,14.89
70,14.978
71,14.956
72,14.849
73,14.854
74,15.013
75,15.023
76,14.879
77,14.778
78,14.821
79,14.962
80,15.032
End.,
