Fre_ch,pwr
1,14.996
2,14.955
3,14.83
4,14.843
5,14.834
6,14.906
7,14.896
8,14.821
9,14.882
10,14.952
11,14.933
12,14.849
13,14.742
14,14.789
15,14.932
16,14.969
17,14.842
18,14.823
19,14.928
20,14.928
21,14.85
22,14.726
23,14.782
24,14.945
25,14.98
26,14.845
27,14.724
28,14.835
29,14.926
30,14.933
31,14.789
32,14.773
33,14.922
34,14.978
35,14.878
36,14.754
37,14.73
38,14.869
39,14.955
40,14.859
41,14.777
42,14.839
43,14.932
44,14.919
45,14.776
46,14.729
47,14.843
48,14.966
49,14.882
50,14.814
51,14.813
52,14.882
53,14.932
54,14.801
55,14.766
56,14.87
57,14.963
58,14.914
59,14.775
60,14.798
61,14.845
62,14.926
63,14.869
64,14.798
End.,2
