Fre_ch,pwr
1,14.918
2,14.981
3,15.12
4,15.092
5,14.951
6,14.91
7,14.975
8,15.112
9,15.152
10,15.022
11,15.022
12,15.061
13,15.12
14,15.034
15,14.957
16,14.996
17,15.109
18,15.141
19,14.986
20,14.91
21,14.962
22,15.09
23,15.11
24,15.013
25,15.012
26,15.1
27,15.11
28,15.028
29,14.947
30,15.02
31,15.108
32,15.148
33,15.053
34,14.972
35,14.986
36,15.038
37,15.112
38,15.042
39,15.03
40,15.047
41,15.089
42,15.068
43,14.97
44,14.94
45,15.033
46,15.143
47,15.05
48,14.932
49,14.915
50,15.004
51,15.072
52,15.016
53,14.937
54,15.016
55,15.09
56,15.041
57,14.954
58,14.938
59,15.045
60,15.133
61,15.093
62,14.966
63,14.97
64,15.09
65,15.127
66,15.117
67,15
68,15.045
69,15.074
70,15.133
71,15.002
72,14.95
73,15.009
74,15.097
75,15.117
76,14.978
77,14.943
78,15.001
79,15.1
80,15.073
End.,
