Fre_ch,pwr
1.0,5.18
2.0,5.22
3.0,5.28
4.0,5.1
5.0,5.12
6.0,5.21
7.0,5.28
8.0,5.21
9.0,5.08
10.0,5.16
11.0,5.19
12.0,5.23
13.0,5.14
14.0,5.03
15.0,5.12
16.0,5.27
17.0,5.26
18.0,5.03
19.0,4.97
20.0,5.17
21.0,5.27
22.0,5.17
23.0,5.03
24.0,5.03
25.0,5.18
26.0,5.28
27.0,5.11
28.0,5.01
29.0,5.14
30.0,5.29
31.0,5.25
32.0,5.05
33.0,5.08
34.0,5.19
35.0,5.32
36.0,5.23
37.0,5.1
38.0,5.16
39.0,5.3
40.0,5.32
41.0,5.24
42.0,5.13
43.0,5.15
44.0,5.28
45.0,5.3
46.0,5.16
47.0,5.14
48.0,5.18
49.0,5.32
50.0,5.21
51.0,5.09
52.0,5.13
53.0,5.23
54.0,5.28
55.0,5.17
56.0,5.06
57.0,5.2
58.0,5.25
59.0,5.24
60.0,5.08
61.0,5.07
62.0,5.2
63.0,5.25
64.0,5.14
65.0,5.03
66.0,5.16
67.0,5.23
68.0,5.17
69.0,5.07
70.0,5.03
71.0,5.15
72.0,5.22
73.0,5.15
74.0,5.02
75.0,5.09
76.0,5.19
77.0,5.23
78.0,5.19
79.0,5.05
80.0,5.14
