Frequency(Hz),Amp(dB)
10000000,0.150460029
20000000,0.149279802
30000000,0.148081501
40000000,0.14687806
50000000,0.145657418
60000000,0.144411822
70000000,0.143141785
80000000,0.141848975
90000000,0.140539514
100000000,0.139214536
110000000,0.137876267
120000000,0.13652688
130000000,0.135159755
140000000,0.133781866
150000000,0.132394329
160000000,0.131002491
170000000,0.129600824
180000000,0.128190025
190000000,0.126764302
200000000,0.125320581
210000000,0.123860111
220000000,0.122387386
230000000,0.120904704
240000000,0.119405748
250000000,0.117883038
260000000,0.11634308
270000000,0.114785455
280000000,0.113215388
290000000,0.11163369
300000000,0.110042606
310000000,0.108443552
320000000,0.106834019
330000000,0.105215806
340000000,0.103585493
350000000,0.101943453
360000000,0.100296364
370000000,0.098632499
380000000,0.09695809
390000000,0.095276325
400000000,0.093587321
410000000,0.091888779
420000000,0.090177511
430000000,0.088456776
440000000,0.086725249
450000000,0.084988434
460000000,0.083248809
470000000,0.081508546
480000000,0.079760041
490000000,0.078004209
500000000,0.076241886
510000000,0.074475628
520000000,0.072706708
530000000,0.070937331
540000000,0.069169882
550000000,0.067403949
560000000,0.065635793
570000000,0.063864889
580000000,0.062093994
590000000,0.060320064
600000000,0.058547385
610000000,0.056775212
620000000,0.055005581
630000000,0.053232638
640000000,0.051459041
650000000,0.049685948
660000000,0.047914488
670000000,0.046147956
680000000,0.044390302
690000000,0.04264321
700000000,0.040904793
710000000,0.039175586
720000000,0.037454237
730000000,0.035741269
740000000,0.034036614
750000000,0.032339856
760000000,0.030649206
770000000,0.028963071
780000000,0.027278757
790000000,0.025598645
800000000,0.023924737
810000000,0.022260478
820000000,0.020605736
830000000,0.018961569
840000000,0.017330709
850000000,0.015710624
860000000,0.014103061
870000000,0.012513265
880000000,0.01093744
890000000,0.009376056
900000000,0.007823859
910000000,0.006278292
920000000,0.00474086
930000000,0.003212609
940000000,0.001697746
950000000,0.000195283
960000000,-0.00129452
970000000,-0.002773415
980000000,-0.004240656
990000000,-0.005696787
1000000000,-0.00713996
1010000000,-0.008571182
1020000000,-0.010021266
1030000000,-0.011482878
1040000000,-0.01292994
1050000000,-0.014416103
1060000000,-0.015891616
1070000000,-0.017338081
1080000000,-0.018775073
1090000000,-0.020213329
1100000000,-0.021629751
1110000000,-0.023021205
1120000000,-0.024401542
1130000000,-0.025766149
1140000000,-0.027114274
1150000000,-0.028451326
1160000000,-0.029784717
1170000000,-0.031095421
1180000000,-0.032391405
1190000000,-0.03367118
1200000000,-0.034935469
1210000000,-0.036189711
1220000000,-0.037426944
1230000000,-0.03865006
1240000000,-0.039858781
1250000000,-0.041054639
1260000000,-0.042235318
1270000000,-0.043406345
1280000000,-0.044569739
1290000000,-0.045730697
1300000000,-0.04688891
1310000000,-0.048042784
1320000000,-0.049183515
1330000000,-0.050319232
1340000000,-0.051446469
1350000000,-0.05256389
1360000000,-0.053680436
1370000000,-0.054790912
1380000000,-0.055885881
1390000000,-0.056973579
1400000000,-0.058052937
1410000000,-0.059120787
1420000000,-0.060191314
1430000000,-0.061269215
1440000000,-0.062329054
1450000000,-0.063378335
1460000000,-0.064431264
1470000000,-0.065477651
1480000000,-0.066517911
1490000000,-0.067558747
1500000000,-0.068596778
1510000000,-0.069629278
1520000000,-0.070657216
1530000000,-0.071675982
1540000000,-0.072683104
