Frequency(Hz),Amp(dB)
10000000,-0.1286317
20000000,-0.132979159
30000000,-0.145628432
40000000,-0.161492128
50000000,-0.172105697
60000000,-0.180348483
70000000,-0.190934728
80000000,-0.200797243
90000000,-0.210728069
100000000,-0.220423501
110000000,-0.229368158
120000000,-0.237948229
130000000,-0.246193898
140000000,-0.25368421
150000000,-0.261603338
160000000,-0.269178877
170000000,-0.276369922
180000000,-0.283304692
190000000,-0.290111247
200000000,-0.297030822
210000000,-0.30369741
220000000,-0.309940024
230000000,-0.316158258
240000000,-0.322224337
250000000,-0.328358022
260000000,-0.334562222
270000000,-0.340683287
280000000,-0.34678755
290000000,-0.352861862
300000000,-0.358859918
310000000,-0.364743078
320000000,-0.370559381
330000000,-0.376156582
340000000,-0.38170437
350000000,-0.387023837
360000000,-0.39218377
370000000,-0.397345614
380000000,-0.402313188
390000000,-0.407323734
400000000,-0.412266745
410000000,-0.417348788
420000000,-0.422448427
430000000,-0.427574886
440000000,-0.432689762
450000000,-0.437709319
460000000,-0.442743798
470000000,-0.447726265
480000000,-0.452593657
490000000,-0.457399044
500000000,-0.462019071
510000000,-0.466578859
520000000,-0.470973977
530000000,-0.475343282
540000000,-0.479631047
550000000,-0.483870142
560000000,-0.488218324
570000000,-0.492634235
580000000,-0.497081789
590000000,-0.501610325
600000000,-0.506094912
610000000,-0.510568659
620000000,-0.514988315
630000000,-0.519363057
640000000,-0.523561757
650000000,-0.52763208
660000000,-0.531593371
670000000,-0.535441762
680000000,-0.539257538
690000000,-0.542992192
700000000,-0.546714215
710000000,-0.55042398
720000000,-0.554220317
730000000,-0.557992442
740000000,-0.561830653
750000000,-0.565637678
760000000,-0.569398341
770000000,-0.573140243
780000000,-0.576810506
790000000,-0.580409392
800000000,-0.583979949
810000000,-0.587467656
820000000,-0.590944921
830000000,-0.594366895
840000000,-5.98E-01
850000000,-0.601239427
860000000,-0.604692082
870000000,-0.608112921
880000000,-0.611523109
890000000,-0.614926913
900000000,-0.618293241
910000000,-0.621630943
920000000,-0.62494033
930000000,-0.628229851
940000000,-0.63144203
950000000,-0.634705516
960000000,-0.637918891
970000000,-0.641156095
980000000,-0.644352743
990000000,-0.647540683
1000000000,-0.650695935
1010000000,-0.654892103
1020000000,-0.659024452
1030000000,-0.663245081
1040000000,-0.66728407
1050000000,-0.671297471
1060000000,-0.675203735
1070000000,-0.679038606
1080000000,-0.682840067
1090000000,-0.686693258
1100000000,-0.690562337
1110000000,-0.694345102
1120000000,-0.698031685
1130000000,-0.701733201
1140000000,-0.705377269
1150000000,-0.70900686
1160000000,-0.712572182
1170000000,-0.716225767
1180000000,-0.719770649
1190000000,-0.723320814
1200000000,-0.726821343
1210000000,-0.7303936
1220000000,-0.733898585
1230000000,-0.737410903
1240000000,-0.740889376
1250000000,-0.744380294
1260000000,-0.747826663
1270000000,-0.751288508
1280000000,-0.754675291
1290000000,-0.758006723
1300000000,-0.761353
1310000000,-0.764675282
1320000000,-0.767974718
1330000000,-0.771239651
1340000000,-0.774501259
1350000000,-0.777734764
1360000000,-0.780883985
1370000000,-0.784090311
1380000000,-0.787206003
1390000000,-0.79032059
1400000000,-0.793491736
1410000000,-0.796569766
1420000000,-0.799699224
1430000000,-0.802830224
1440000000,-0.805920891
1450000000,-0.8090191
1460000000,-0.812122667
1470000000,-0.815229379
1480000000,-0.81831093
1490000000,-0.82140052
1500000000,-0.824454367
1510000000,-0.827505465
1520000000,-0.830542271
1530000000,-0.833614475
1540000000,-0.836614689
1550000000,-0.839625025
1560000000,-0.842581137
1570000000,-0.845538076
1580000000,-0.8484544
1590000000,-0.851333818
1600000000,-0.854217562
1610000000,-0.85705525
1620000000,-0.859895162
1630000000,-0.862693682
1640000000,-0.865469938
1650000000,-0.868284678
1660000000,-0.871031815
1670000000,-0.873776146
1680000000,-0.876554583
1690000000,-0.879315209
1700000000,-0.882104039
1710000000,-0.8848905
1720000000,-0.88766413
1730000000,-0.890457496
1740000000,-0.893289981
1750000000,-0.896078763
1760000000,-0.89886966
1770000000,-0.901651146
1780000000,-0.904438388
1790000000,-0.907239524
1800000000,-0.909984413
1810000000,-0.912741454
1820000000,-0.915456646
1830000000,-0.918152953
1840000000,-0.920792133
1850000000,-0.923442409
1860000000,-0.926060885
1870000000,-0.928676577
1880000000,-0.931278794
1890000000,-0.933835255
1900000000,-0.936361619
1910000000,-0.93886924
1920000000,-0.941399254
1930000000,-0.943886854
1940000000,-0.946397247
1950000000,-0.948948185
1960000000,-0.951437662
1970000000,-0.953934187
1980000000,-0.956448491
1990000000,-0.958997241
2000000000,-0.961545467
2010000000,-0.964102645
2020000000,-0.966671661
2030000000,-0.969234464
2040000000,-0.971840894
2050000000,-0.974386749
2060000000,-0.976938465
2070000000,-0.97948354
2080000000,-0.982051509
2090000000,-0.984598353
2100000000,-0.987094843
2110000000,-0.989595433
2120000000,-0.992103181
2130000000,-0.994529735
2140000000,-0.996951653
2150000000,-0.999347788
2160000000,-1.001703583
2170000000,-1.004064492
2180000000,-1.006442422
2190000000,-1.008792293
2200000000,-1.011106932
2210000000,-1.013442505
2220000000,-1.01577406
2230000000,-1.018135129
2240000000,-1.020469049
2250000000,-1.022849302
2260000000,-1.025258682
2270000000,-1.027636989
2280000000,-1.030030534
2290000000,-1.032468301
2300000000,-1.034900434
2310000000,-1.037343934
2320000000,-1.039781996
2330000000,-1.042262408
2340000000,-1.044728524
2350000000,-1.047165908
2360000000,-1.049655107
2370000000,-1.052110444
2380000000,-1.054549909
2390000000,-1.057000288
2400000000,-1.059440791
2410000000,-1.061849041
2420000000,-1.064230481
2430000000,-1.066597372
2440000000,-1.068970931
2450000000,-1.071340937
2460000000,-1.073632228
2470000000,-1.075957873
2480000000,-1.078296492
2490000000,-1.080619408
2500000000,-1.082955257
2510000000,-1.08526672
2520000000,-1.087584974
2530000000,-1.089924646
2540000000,-1.092248932
2550000000,-1.094608903
2560000000,-1.096968606
2570000000,-1.099338474
2580000000,-1.101658816
2590000000,-1.104009287
2600000000,-1.10637374
2610000000,-1.108734009
2620000000,-1.111095415
2630000000,-1.113448336
2640000000,-1.115801587
2650000000,-1.118164682
2660000000,-1.120504308
2670000000,-1.122829705
2680000000,-1.125168647
2690000000,-1.127478999
2700000000,-1.129761121
2710000000,-1.132047167
2720000000,-1.134334557
2730000000,-1.136618806
2740000000,-1.138872316
2750000000,-1.141113922
2760000000,-1.143392111
2770000000,-1.145635976
2780000000,-1.147910889
2790000000,-1.150184923
2800000000,-1.152469656
2810000000,-1.154743915
2820000000,-1.157004825
2830000000,-1.159289928
2840000000,-1.161530997
2850000000,-1.163796648
2860000000,-1.166112901
2870000000,-1.168396216
2880000000,-1.170635216
2890000000,-1.172904307
2900000000,-1.175141309
2910000000,-1.177368356
2920000000,-1.179582146
2930000000,-1.181845905
2940000000,-1.18407697
2950000000,-1.186334057
2960000000,-1.188572254
2970000000,-1.190806615
2980000000,-1.19303992
2990000000,-1.195298059
3000000000,-1.19757495
3010000000,-1.199769933
3020000000,-1.201993244
3030000000,-1.204199989
3040000000,-1.206495299
3050000000,-1.208739555
3060000000,-1.21096171
3070000000,-1.213214055
3080000000,-1.215475138
